Code	Study	Vertebrate_group	Animal_sp_paper	Plant_sp_paper
REF209	Florez-Montero_et-al_2022_>>_BPR125_Reis_&_Guillaumet_1983	Chiroptera	Ametrida_centurio	Piper_aduncum
REF330	Bredt_et-al_2012	Chiroptera	Ametrida_centurio	Piper_aduncum
REF330	Bredt_et-al_2012	Chiroptera	Anoura_caudifer	Carica_papaya
REF330	Bredt_et-al_2012	Chiroptera	Anoura_caudifer	Musa_paradisiaca
REF330	stevenson_et-al_2021_>>_Heithaus_et-al_1975	Chiroptera	Anoura_geoffroyi	Piper_aduncum
REF330	Bredt_et-al_2012	Chiroptera	Anoura_geoffroyi	Piper_aduncum
REF345	Hernandez-Monteiro_et-al_2015	Chiroptera	Artbeus_jamaicensis	Ficus_sp
REF345	Hernandez-Monteiro_et-al_2015	Chiroptera	Artbeus_jamaicensis	Lycianthes_geminifolia
REF345	Hernandez-Monteiro_et-al_2015	Chiroptera	Artbeus_jamaicensis	Trema_micrantha
REF345	Hernandez-Monteiro_et-al_2015	Chiroptera	Artbeus_tolteca	Solanum_aphyodedron
REF350	Musnter_2011	Chiroptera	Artibeus_sp	Solanum_caavurana
REF209	Florez-Montero_et-al_2022_>>_BPR086_Lobova_et-al_2003	Chiroptera	Artibeus_cinereus	Cecropia_obtusa
REF209	Florez-Montero_et-al_2022_>>_BPR020_Charles-Dominique_1986	Chiroptera	Artibeus_cinereus	Ficus_sp
REF209	Florez-Montero_et-al_2022_>>_BPR026_de_Foresta_et-al_1984	Chiroptera	Artibeus_cinereus	Solanum_asperum
REF209	Florez-Montero_et-al_2022_>>_BPR125_Reis_&_Guillaumet_1983	Chiroptera	Artibeus_cinereus	Vismia_cayennensis
REF209	Florez-Montero_et-al_2022_>>_BPR026_de_Foresta_et-al_1984	Chiroptera	Artibeus_cinereus	Vismia_sp
REF209	Florez-Montero_et-al_2022_>>_BPR020_Charles-Dominique_1986	Chiroptera	Artibeus_concolor	Cecropia_obtusa
REF209	Florez-Montero_et-al_2022_>>_BPR086_Lobova_et-al_2003	Chiroptera	Artibeus_concolor	Cecropia_obtusa
REF209	Florez-Montero_et-al_2022_>>_BPR096_Marinho-Filho_&_Vasconcellos-Neto_1994	Chiroptera	Artibeus_concolor	Vismia_cayennensis
REF209	Florez-Montero_et-al_2022_>>_BPR125_Reis_&_Guillaumet_1983	Chiroptera	Artibeus_concolor	Vismia_guianensis
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_concolor	Piper_aduncum
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Cecropia_glaziovii
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Cecropia_pachystachya
REF209	Florez-Montero_et-al_2022_>>_BPR150_Tavares_2007	Chiroptera	Artibeus_fimbriatus	Cecropia_pachystachya
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Ficus_luschnathiana
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Ficus_sp
REF209	Florez-Montero_et-al_2022_>>_BPR003_Aguiar_&_Marinho_Filho_2007	Chiroptera	Artibeus_fimbriatus	Piper_amalago
REF209	Florez-Montero_et-al_2022_>>_BPR003_Aguiar_&_Marinho_Filho_2007	Chiroptera	Artibeus_fimbriatus	Piper_crassinervium
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Piper_sp
REF209	Florez-Montero_et-al_2022_>>_BPR150_Tavares_2007	Chiroptera	Artibeus_fimbriatus	Piper_sp
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Solanum_sp
REF209	Florez-Montero_et-al_2022_>>_BPR120_Passos_et-al_2003	Chiroptera	Artibeus_fimbriatus	Vassobia_breviflora
REF313	Laurindo_et-al_2017	Chiroptera	Artibeus_fimbriatus	Cecropia_pachystachya
REF313	Laurindo_et-al_2017	Chiroptera	Artibeus_fimbriatus	Ficus_sp
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Cecropia_glaziovii
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Cecropia_pachystachya
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Ficus_enormis
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Ficus_insipida
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Ficus_luschnathiana
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Ficus_organensis
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Lycianthes_glandulosa
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Maclura_tinctoria
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Manilkara_zapota
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Piper_aduncum
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Piper_amalago
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Psychotria_suterella
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Solanum_paniculatum
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Terminalia_catappa
REF330	Bredt_et-al_2012	Chiroptera	Artibeus_fimbriatus	Vassobia_breviflora
