Plant_sp_paper	Plant_name_accepted	Plant_sp_current	Plant_genus_current	Plant_family_current	life_form	fruit_type	husk	color	color_code	fruit_le_cm	fruit_wd_cm	seed_le_cm	seed_wd_cm	seed_diam_cm	n_seeds
Irianthera_sp	Andrographis	sp	Andrographis	Acanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Justicia_sp	Justicia	sp	Justicia	Acanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lepidagathis_alopecuroidea	Lepidagathis_alopecuroidea	Lepidagathis_alopecuroidea	Lepidagathis	Acanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mendoncia_bahiensis	Mendoncia_bahiensis	Mendoncia_bahiensis	Mendoncia	Acanthaceae	liana	drupe	A	black	F	2.8	1.6	1.4	1.01	1.01	1
Mendoncia_bivalvis	Mendoncia_bivalvis	Mendoncia_bivalvis	Mendoncia	Acanthaceae	liana	drupe	A	NA	NA	NA	NA	NA	NA	NA	NA
Mendoncia_gigas	Mendoncia_gigas	Mendoncia_gigas	Mendoncia	Acanthaceae	liana	drupe	A	NA	NA	NA	NA	NA	NA	NA	NA
Mendoncia_hoffmannseggiana	Mendoncia_hoffmannseggiana	Mendoncia_hoffmannseggiana	Mendoncia	Acanthaceae	liana	drupe	A	NA	NA	NA	NA	NA	NA	NA	NA
Mendoncia_klugii	Mendoncia_klugii	Mendoncia_klugii	Mendoncia	Acanthaceae	liana	drupe	A	black	NA	NA	NA	NA	1.38	1.38	1
Mendoncia_lindawii	Mendoncia_lindavii	Mendoncia_lindavii	Mendoncia	Acanthaceae	liana	drupe	A	NA	NA	NA	NA	NA	NA	NA	NA
Mendoncia_odorata	Mendoncia_odorata	Mendoncia_odorata	Mendoncia	Acanthaceae	liana	drupe	A	black	F	1.6	1.35	NA	NA	NA	1
Mendoncia_robusta	Mendoncia_robusta	Mendoncia_robusta	Mendoncia	Acanthaceae	liana	drupe	A	black	F	2.8	1.2	1.9	NA	NA	1
Mendoncia_sp	Mendoncia	sp	Mendoncia	Acanthaceae	liana	drupe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mendoncia_sprucei	Mendoncia_sprucei	Mendoncia_sprucei	Mendoncia	Acanthaceae	liana	drupe	A	black	F	NA	NA	NA	1.6	1.6	1
Mendoncia_vellosiana	Mendoncia_velloziana	Mendoncia_velloziana	Mendoncia	Acanthaceae	liana	drupe	A	black	F	1.7	1.4	1.4	0.7	0.7	1
Mendoncia_velloziana	Mendoncia_velloziana	Mendoncia_velloziana	Mendoncia	Acanthaceae	liana	drupe	A	black	NA	1.7	1.4	1.4	0.7	0.7	1
Mendoncia_velloziana	Mendoncia_velloziana	Mendoncia_velloziana	Mendoncia	Acanthaceae	liana	drupe	A	black	F	1.7	1.4	1.4	0.7	0.7	1
Carpotroche_brasiliensis	Carpotroche_brasiliensis	Carpotroche_brasiliensis	Carpotroche	Achariaceae	tree	berry	P	brown	F	1.2	9.37	1.5	1.3	1.3	90
Mayna_grandifolia	Mayna_grandifolia	Mayna_grandifolia	Mayna	Achariaceae	NA	NA	A	yellow	F	NA	NA	NA	NA	NA	NA
Mayna_sp	Mayna	sp	Mayna	Achariaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saurauia_brachybotrys	Saurauia_brachybotrys	Saurauia_brachybotrys	Saurauia	Actinidiaceae	NA	berry	A	NA	NA	1	1	NA	NA	NA	30
Saurauia_montana	Saurauia_montana	Saurauia_montana	Saurauia	Actinidiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saurauia_sp	Saurauia	sp	Saurauia	Actinidiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Echinodorus_paniculatus	Aquarius_paniculatus	Aquarius_paniculatus	Aquarius	Alismataceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amaranthus_hybridus	Amaranthus_hybridus	Amaranthus_hybridus	Amaranthus	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amaranthus_hybridus	Amaranthus_hypochondriacus	Amaranthus_hybridus	Amaranthus	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belucia_sp	Suaeda	sp	Suaeda	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belucia_sp	Allmania	sp	Allmania	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamissoa_altissima	Chamissoa_altissima	Chamissoa_altissima	Chamissoa	Amaranthaceae	NA	NA	A	NA	F	0.25	0.25	0.2	0.2	0.2	1
Cyathula_prostrata	Cyathula_prostrata	Cyathula_prostrata	Cyathula	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhamdia_sp	Rhagodia	sp	Rhagodia	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhamdia_sp	Chenopodium	sp	Chenopodium	Amaranthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anacadium_giganteum	Anacardium_giganteum	Anacardium_giganteum	Anacardium	Anacardiaceae	NA	pseudofruit	A	NA	NA	NA	NA	NA	NA	NA	NA
Anacardium_excelsum	Anacardium_excelsum	Anacardium_excelsum	Anacardium	Anacardiaceae	tree	pseudofruit	A	yellow	F	NA	NA	NA	NA	NA	NA
Anacardium_giganteum	Anacardium_giganteum	Anacardium_giganteum	Anacardium	Anacardiaceae	NA	pseudofruit	A	NA	NA	NA	NA	NA	NA	NA	NA
Anacardium_humile	Anacardium_humile	Anacardium_humile	Anacardium	Anacardiaceae	NA	pseudofruit	A	NA	NA	3.22	2.86	2.09	1.43	1.43	1
Anacardium_occidentale	Anacardium_occidentale	Anacardium_occidentale	Anacardium	Anacardiaceae	NA	pseudofruit	A	yellow	F	9	4	4	2.5	2.5	1
Anacardium_parvifolium	Anacardium_parvifolium	Anacardium_parvifolium	Anacardium	Anacardiaceae	NA	pseudofruit	A	NA	NA	NA	NA	NA	NA	NA	NA
Astronium_lecontei	Astronium_lecointei	Astronium_lecointei	Astronium	Anacardiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Astronium_nelson-rosae	Astronium_nelson-rosae	Astronium_nelson-rosae	Astronium	Anacardiaceae	NA	NA	NA	brown	F	1.2	NA	NA	NA	NA	NA
Cyrtocarpa_edulis	Cyrtocarpa_edulis	Cyrtocarpa_edulis	Cyrtocarpa	Anacardiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lithraea_brasiliensis	Lithraea_brasiliensis	Lithraea_brasiliensis	Lithraea	Anacardiaceae	NA	drupe	A	green	F	0.7	0.6	0.3	0.2	0.2	1
