Code	Title	Vertebrate_group	Authors	Year	Source	Site	Country	Longitude	Latitude	Dec_degrees
REF01	Seed dispersal patterns in Howler Monkey species (Alouatta palliata and A. pigra): A preliminary report of differences in fruit consumption, traveling behavior and associated Dung Beetle assemblages	Primate	Amato KR, Estrada A	2010	Neotropical_Primates	A. palliata - Los Tuxtlas Biosphere Reserve; A. pigra - Palenque National Park (PNP)	Mexico	95.04°W /  92°2'46.78″W	18.34°N / 17°29'2.32″N	Los Tuxtlas: Latitude: 18.3602, Longitude: -95.1203; Palenque National Park: Latitude: 17.4873, Longitude: -92.0421
REF02	Implications of behavior and gut passage for seed dispersal quality: The case of Black and Gold Howler Monkeys	Primate	Bravo SP	2009	Biotropica	Brasilera Island, confluence of Parana and Paraguay rivers	Argentina	58°41'W	27°30'S	Latitude: -34.2222, Longitude: -58.0417
REF03	Germination of seeds from three species dispersed by Black Howler Monkeys (Alouatta caraya)	Primate	Bravo SP, Zunino GE	2000	Folia_Primatol	Brasilera Island, confluence of Parana and Paraguay rivers	Argentina	58°41'W	27°30'S	Latitude: -34.2222, Longitude: -58.0417
REF04	Ingestion of Ficus enormis seeds by howler monkeys (Alouatta fusca) in Brazil: effects on seed germination	Primate	Figueiredo RA	1993	Journal_of_Tropical_Ecology	Santa Genebra Reserve, Campinas, Sao Paulo	Brazil	47°06'40"W	22°49'20"S	Latitude: -22.871582, Longitude: -47.092878
REF05	Seed Dispersal by red Howling Monkeys (Alouatta seniciculus) in the tropical rain forest of French Guiana	Primate	Julliot C	1996	International_Journal_of_Primatology	Nouragues Biological Station	French Guiana	52°40’W	4°05’N	Latitude: 4.052778, Longitude: -52.672222
REF06	Impact of seed dispersal by red howler monkeys Alouatta seniculus on the seedling population in the understorey of tropical rain forest	Primate	Julliot C	1997	Journal_of_Ecology	Nouragues Biological Station	French Guiana	52°40’W	4°05’N	Latitude: 4.052778, Longitude: -52.672222
REF07	Seed dispersal and defecation patterns of Cebus capucinus and Alouatta palliata: consequences for seed dispersal effectiveness	Primate	Wehncke EV, Valdez CN, Dominguez CA	2004	Journal_of_Tropical_Ecology	Palo Verde National Park	Costa Rica	84°48'35″W	10°18'25″N	Latitude: 10.3433, Longitude: -85.3167
REF08	Seed dispersal by monkeys and the fate of dispersed seeds in a Peruvian Rain Forest 	Primate	Andersen E	1999	Biotropica	Cocha Cashu Biological Station (CCBS), Manu National Park	Peru	71°18'W	11°55'S	Latitude: -11.9375, Longitude: -71.2856
REF09	Howler monkeys (Alouatta palliata), dung beetles (Scarabaeidae) and seed dispersal: ecological interactions in the tropical rain forest of Los Tuxtlas	Primate	Estrada A, Coates-Estrada R	1991	Journal_of_Tropical_Ecology	Los Tuxtlas Biological Reserve, Veracruz	Mexico	95,04°W	18,34°N	Latitude: 18.3602, Longitude: -95.1203
REF10	Seed dispersal by spider monkeys and its importance in the maintenance of neotropical rain-forest diversity	Primate	Link A, Di Fiori A	2006	Journal_of_Tropical_Ecology	Yasuni National Park	Ecuador	75°28'W	0°42'S	Latitude: -0.700000, Longitude: -75.466667
REF11	Seed dispersal by Golden-headed Lion Tamarins Leontopithecus chrysomelas in Southern Bahia Atlantic Forest, Brazil	Primate	Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Una Biological Reserve, REBIO-Una, Bahia	Brazil	39°03'W	15°10' S	Latitude: -15.3067, Longitude: -39.3261
REF12	Some aspects of seed dispersal effectiveness of golden lion tamarins (Leontopithecus rosalia) in a Brazilian Atlantic forest	Primate	Lapenta MJ, Procopio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Tropical_Conservation_Science	Uniao Biological Reserve - Casimiro de Abreu and Rio das Ostras, Rio de Janeiro	Brazil	42°02’15”W	22°27’36”S	Latitude: -22.4600, Longitude: -42.0375
REF13	Frugivory and seed dispersal of golden lion tamarin (Leontopithecus rosalia (Linnaeus, 1766)) in a forest fragment in the Atlantic Forest, Brazil	Primate	Lapenta MJ, Procopio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian_Journal_of_Biology	Uniao Biological Reserve - Casimiro de Abreu and Rio das Ostras, Rio de Janeiro	Brazil	42°02’15”W	22°27’36”S	Latitude: -22.4600, Longitude: -42.0375
REF14	Seed dispersal patterns produced by white-faced monkeys: implications for the dispersal limitation of Neotropical tree species	Primate	Wehncke EV, Hubbell SP, Foster RB, Dalling JW	2003	Journal_of_Ecology	Barro Colorado Island (BCI)	Panama	79°51' W	9°10' N	Latitude 9.154, Longitude 79.846
REF15	Effects of Seed Dispersal by Three Ateline Monkey Species on Seed Germination at Tinigua National Park, Colombia	Primate	Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International_Journal_of_Primatology	Tinigua National Park, west of Sierra de La Macarena, Departamento del Meta	Colombia	74°10' W	2°40' N	Latitude: 3.4000, Longitude: -73.4000
REF16	Seed dispersal by black-handed tamarins Saguinus midas niger (Callitrichinae, Primates): implications for the regeneration of degraded forest habitats in eastern Amazonia	Primate	Oliveira ACM, Ferrari SF	2000	Journal_of_Tropical_Ecology	Vitoria Farm, Paragominas, Para	Brazil	47°31'W	2°59'S	Latitude: -2.983333, Longitude: -47.516667
REF17	Effects of dung presence, dung amount and secondary dispersal by dung beetles on the fate of Micropholis guyanensis (Sapotaceae) seeds in Central Amazonia	Primate	Andersen E	2001	Journal_of_Tropical_Ecology	BDFFP (Minimum Critical Size of Ecosystems Project), Manaus > BRAZIL 	Brazil	60° W	2°30' S	Latitude: -3.1609, Longitude: -60.1012
REF18	Aggregated seed dispersal by spider monkeys limits recruitment to clumped patterns in Virola calophylla	Primate	Russo SE & Augspurger CK	2004	Ecology_Letters	Cocha Cashu Biological Station (CCBS), Manu National Park	Peru	71°18'W	11°55'S	Latitude: -11.9375, Longitude: -71.2856
REF19	Comparative seed dispersal effectiveness of sympatric Alouatta guariba and Brachyteles arachnoides in Southeastern Brazil	Primate	Martins MM	2006	Biotropica	Barreiro Rico Farm, Sao Paulo	Brazil	48°11'10" W	22°40'40"S	Latitude: -22.677778, Longitude: -48.186111
REF20	Dispersal vacuum in the seedling recruitment of a primate-dispersed amazonian tree	Primate	Levi T, Peres CA	2013	Biological_Conservation	Terra firme forest, Tefe river	Brazil	66°40’34"W	5°20'28'' S	Latitude: -5.341111, Longitude: -66.676111
REF21	Short-term post-dispersal fate of seeds defecated by two small primate species (Saguinus mystax and Saguinus fuscicollis) in the Amazonian forest of Peru	Primate	Culot L, Huynen MC, Gerard P, Heymann EW	2009	Journal_of_Tropical_Ecology	Quebrada Blanco Biological Station	Peru	73°09’W	04°21' S	Latitude: -4.3500, Longitude: -73.1500
REF22	Frugivory and seed fate in Bursera inversa (Burseraceae) at Tinigua Park, Colombia: Implications for primate conservation	Primate	Stevenson PR, Link A, Ramirez BH	2005	Biotropica	Tinigua National Park, west of Sierra de La Macarena, Departamento del Meta	Colombia	74°10' W	2°40' N	Latitude: 3.583333, Longitude: -73.666667
REF23	Dispersao de sementes pelo monocarvoeiro (Brachyteles arachnoides) no Parque Estadual Carlos Botelho	Primate	Moraes PLR	1992	Revista_do_Instituto_Florestal	Carlos Botelho State Park, Sao Paulo	Brazil	47°87' W	24°32' S	Latitude: -24.5333, Longitude: -47.9500
REF24	The Ecology of Seed Dispersal in Two Species of Callitrichid Primates (Saguinus mystax and Saguinus fuscicollis)	Primate	Garber PA	1986	American_Journal_of_Primatology	Quebrada Blanco Biological Station	Peru	73°09’W	04°21' S	Latitude: -4.3500, Longitude: -73.1500
REF25	Frugivory patterns and seed dispersal by golden-headed lion tamarins (Leontopithecus chrysomelas) in Una Biological Reserve, Bahia, Brazil	Primate	Cardoso NA, Le Pendu Y, Lapenta MJ, Raboy BE	2011	Mammalia	Una Biological Reserve, REBIO-Una, Bahia	Brazil	39°03'W	15°10' S	Latitude: -15.3067, Longitude: -39.3261
REF26	Seed dispersal by Woolly Monkeys (Lagothrix lagothricha) at Tinigua National Park, Colombia: Dispersal distance, germination rates, and dispersal quantity	Primate	Stevenson PR	2000	American_Journal_of_Primatology	Tinigua National Park, west of Sierra de La Macarena, Departamento del Meta	Colombia	74°10' W	2°40' N	Latitude: 2.666667, Longitude: -73.666667
REF27	Primate seed dispersal: The fate of dispersed seeds	Primate	Chapman CA	1989	Biotropica	Dry tropical forest_Santa Rosa National Park, Guanacaste	Costa Rica	85°37' W	10°51' N	Latitude: 10.850000, Longitude: -85.616667
REF28	Nutrient transport within and between habitats through seed dispersal processes by Woolly Monkeys in North-Western Amazonia	Primate	Stevenson PR, Guzman-Caro DC	2010	American_Journal_of_Primatology	Tinigua National Park, west of Sierra de La Macarena, Departamento del Meta	Colombia	74°10' W	2°40' N	Latitude: 3.4000, Longitude: -73.4000
REF29	 Effects of Gut Passage, Feces, and Seed Handling on Latency and Rate of Germination in Seeds Consumed by Capuchins (Cebus capucinus)	Primate	Valenta K & Fedigan LM	2009	American_Journal_of_Physical_Anthropology	Dry tropical forest_Santa Rosa National Park, Guanacaste	Costa Rica	85°37' W	10°51' N	Latitude: 10.850000, Longitude: -85.616667
REF30	Pulp-seed attachment is a dominant variable explaning legitimate seed dispersal: a case study on woolly monkeys	Primate	Stevenson PR	2011	Oecologia	Tinigua National Park, west of Sierra de La Macarena, Departamento del Meta	Colombia	74°10' W	2°40' N	Latitude: 2.666667, Longitude: -73.666667
REF31	Effectiveness of Spider Monkeys (Ateles geoffroyi vellerosus) as seed dispersers in continuous and fragmented Rain Forests in Southern Mexico	Primate	Chaves OM,  Stoner KE,  Arroyo-Rodriguez V, Estrada A	2011	International_Journal_of_Primatology	Montes Azules Biosphere Reserve, Chiapas	Mexico	90°45'-91°30'W	19°05'-20°07'N	Latitude: 16.623263, Longitude: -91.1503042
REF32	How much is a lot? Seed dispersal by white-faced capuchins and implications for disperser-based studies of seed dispersal systems	Primate	Valenta K, Fedigan LM	2008	Primates	Dry tropical forest_Santa Rosa National Park, Guanacaste	Costa Rica	85°37' W	10°51' N	Latitude: 10.850000, Longitude: -85.616667
REF33	Seasonal variation in seed dispersal by Tamarins alters seed rain in a secondary Rain Forest > APENDIX	Primate	Culot L, Lazo JJM, Huynen MC, Poncin P, Heymann EW	2010	International_Journal_of_Primatology	Quebrada Blanco Biological Station	Peru	73°09’W	04°21' S	Latitude: -4.3500, Longitude: -73.1500
REF34	Monkey dispersal and waste of a neotropical fruit	Primate	Howe HF	1980	Ecological_Society_of_America	Barro Colorado Island (BCI)	Panama	79°51' W	9°10' N	Latitude: 9.166667, Longitude: -79.850000
REF35	The Capuchin, the Howler, and the Caatinga: Seed dispersal by monkeys in a threatened Brazilian Forest	Primate	Moura ACA, McConkey KR	2007	American_Journal_of_Primatology	Dry tropical forest_Caatinga_Serra da Capivara National Park_Piaui	Brazil	 42°45' W	8°54'S	Latitude: -8.9000, Longitude: -42.7500
REF36	Fruit diet of Alouatta guariba and Brachyteles arachnoides in Southeastern Brazil: comparision of fruit type, color and seed size	Primate	Martins MM	2008	Primates	Barreiro Rico Farm, Sao Paulo	Brazil	48°11'10" W	22°40'40"S	Latitude: -22.677778, Longitude: -48.186111
REF37	Fruit consumption and seed dispersal of Ziziphus cinnamomum (Rhamnaceae) by two sympatric primates (Cebus apella and Ateles paniscus) in French Guiana	Primate	 Zhang SY, Wang LX	1995	Biotropica	Nouragues Biological Station	French Guiana	 52°40’W	4°05’N	Latitude: 4.052778, Longitude: -52.672222
